STATION,SOURCE,LATITUDE,LONGITUDE,ELEVATION,CALL_SIGN,Air Temperature (°C),Above Freezing Flag,Dew Point (°C),Sea Level Pressure (hPa),MW1_VAL,Visibility (km),REPORT_TYPE_FM-12,REPORT_TYPE_FM-15,REPORT_TYPE_FM-16,HOUR
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.042492549,-2.350304123,-0.691856491,-1.414637443,-1.542022107,-0.896120915,1,0,0,13
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.009166181,0.425476852,-0.783470356,0.707515915,-1.542022107,-0.879291974,0,1,0,13
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,-1.542022107,-0.921364325,0,1,0,13
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.086927707,-2.350304123,-0.744207271,-1.414613832,0.772128015,-1.064410316,1,0,0,14
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,-1.542022107,-1.030752436,0,1,0,14
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.106482667,0,1,0,14
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,-1.414519388,0.836409963,-1.114897137,1,0,0,15
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.106482667,0,1,0,15
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.102275432,0,1,0,15
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.098036496,-2.350304123,-0.757294966,-1.414472166,0.579282172,-1.098068196,1,0,0,16
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.098068196,0,1,0,16
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.102275432,0,1,0,16
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.086927707,-2.350304123,-0.744207271,-1.414377722,0.707846067,-1.098068196,1,0,0,17
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.098068196,0,1,0,17
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.089653726,0,1,0,17
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,-1.414212446,0.707846067,-1.098068196,1,0,0,18
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.089653726,0,1,0,18
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.093860961,0,1,0,18
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.131362865,-2.350304123,-0.796558051,-1.414165224,0.707846067,-1.098068196,1,0,0,19
0,0,1.42E-14,7.11E-15,-5.68E-14,0,-1.120254075,-2.350304123,-0.783470356,0.707515915,0.900691911,-1.093860961,0,1,0,19
