STATION,SOURCE,LATITUDE,LONGITUDE,ELEVATION,CALL_SIGN,Air Temperature (°C),Above Freezing Flag,Dew Point (°C),Sea Level Pressure (hPa),MW1_VAL,Visibility (km),REPORT_TYPE_FM-12,REPORT_TYPE_FM-15,HOUR
0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,16.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,16.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.25,0.33,-0.15,-1.41,0.00,-0.41,1.00,0.00,17.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,17.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,17.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.36,0.33,-0.19,-1.41,0.00,-0.41,1.00,0.00,18.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,18.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,18.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.59,0.33,-0.39,-1.41,-1.89,-0.56,1.00,0.00,19.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.53,0.33,-0.15,0.71,0.00,-0.56,0.00,1.00,19.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.53,0.33,-0.15,0.71,0.00,-0.63,0.00,1.00,19.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.68,0.33,-0.41,-1.41,-1.89,-0.56,1.00,0.00,20.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.53,0.33,-0.15,0.71,0.00,-0.56,0.00,1.00,20.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.43,0.71,0.00,-0.71,0.00,1.00,20.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.72,0.33,-0.41,-1.41,-1.89,-0.71,1.00,0.00,21.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.29,0.71,0.00,-0.71,0.00,1.00,21.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.29,0.71,-1.89,-0.78,0.00,1.00,21.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.75,0.33,-0.42,-1.41,-1.89,-0.78,1.00,0.00,22.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,-1.89,-0.78,0.00,1.00,22.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.29,0.71,-1.89,-0.82,0.00,1.00,22.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.84,0.33,-0.50,-1.41,-1.82,-0.97,1.00,0.00,23.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.43,0.71,-1.89,-0.97,0.00,1.00,23.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.43,0.71,0.46,-1.12,0.00,1.00,23.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.92,0.33,-0.58,-1.41,0.59,-1.12,1.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.58,0.71,0.46,-1.14,0.00,1.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.12,0.33,-0.72,0.71,0.46,-1.15,0.00,1.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.02,0.33,-0.67,-1.41,0.59,-1.15,1.00,0.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.01,0.33,-0.58,0.71,0.46,-1.15,0.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.01,0.33,-0.58,0.71,0.46,-1.15,0.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.10,0.33,-0.77,-1.41,0.46,-1.15,1.00,0.00,2.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.01,0.33,-0.72,0.71,0.46,-1.15,0.00,1.00,2.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.12,0.33,-0.72,0.71,0.46,-1.15,0.00,1.00,2.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.12,0.33,-0.77,-1.41,0.46,-1.15,1.00,0.00,3.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.12,0.33,-0.72,0.71,0.46,-1.15,0.00,1.00,3.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.12,0.33,-0.72,0.71,0.46,-1.15,0.00,1.00,3.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.20,0.33,-0.86,-1.41,0.46,-1.15,1.00,0.00,4.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.24,0.33,-0.86,0.71,0.46,-1.15,0.00,1.00,4.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.12,0.33,-0.72,0.71,0.46,-1.15,0.00,1.00,4.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.24,0.33,-0.92,-1.41,0.46,-1.15,1.00,0.00,5.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.12,0.33,-0.72,0.71,0.46,-1.15,0.00,1.00,5.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.24,0.33,-0.86,0.71,0.73,-1.15,0.00,1.00,5.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.33,-3.02,-1.02,-1.41,0.32,-1.13,1.00,0.00,6.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.36,-3.02,-1.00,0.71,0.73,-1.15,0.00,1.00,6.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.36,-3.02,-1.00,0.71,0.73,-1.11,0.00,1.00,6.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.24,0.33,-0.92,-1.41,-0.65,-1.04,1.00,0.00,7.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.24,0.33,-0.86,0.71,-1.89,-1.04,0.00,1.00,7.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.12,0.33,-0.86,0.71,-1.89,-1.04,0.00,1.00,7.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.17,0.33,-0.83,-1.41,-1.89,-0.90,1.00,0.00,8.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.12,0.33,-0.86,0.71,-1.89,-0.90,0.00,1.00,8.00
0.00,0.00,0.00,0.00,0.00,0.00,-1.01,0.33,-0.58,0.71,-1.89,-0.90,0.00,1.00,8.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.96,0.33,-0.58,-1.41,-1.89,-0.86,1.00,0.00,9.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.58,0.71,-1.89,-0.88,0.00,1.00,9.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.43,0.71,-1.89,-0.78,0.00,1.00,9.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.69,0.33,-0.26,-1.41,-1.89,-0.71,1.00,0.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.29,0.71,0.00,-0.71,0.00,1.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.41,0.33,-0.01,0.71,0.00,-0.63,0.00,1.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,0.15,-1.41,0.00,-0.41,1.00,0.00,11.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,11.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,11.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.33,0.11,-1.41,-2.51,-0.03,1.00,0.00,12.00
0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,12.00
0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,12.00
0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.33,0.11,-1.41,0.00,0.35,1.00,0.00,13.00
0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.33,0.13,0.71,0.00,-0.41,0.00,1.00,13.00
0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,13.00
0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.33,-0.01,-1.41,0.00,0.35,1.00,0.00,14.00
0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,14.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,14.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.33,-0.09,-1.41,0.00,-0.41,1.00,0.00,15.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,15.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,15.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.38,0.33,-0.15,-1.41,-1.89,-0.56,1.00,0.00,16.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.01,0.71,0.00,-0.63,0.00,1.00,16.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.41,0.33,-0.15,0.71,0.00,-0.71,0.00,1.00,16.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.58,0.33,-0.35,-1.41,-1.89,-0.71,1.00,0.00,17.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.53,0.33,-0.29,0.71,0.00,-0.71,0.00,1.00,17.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,0.00,-0.71,0.00,1.00,17.00
